phewas_string,x,y,p_values,odds_ratios,snps,cluster
Acute vascular insufficiency of intestine,16,5,"[0.02985, 0.02036, 0.04057]","[0.418, 0.448, 2.609]","['B_0801', 'C_0701', 'C_0704']",3
"Acute, but ill-defined cerebrovascular disease",16,5,[0.03625],[1.446],['A_6801'],3
Adjustment reaction,12,4,"[0.0428, 0.04206, 0.03289, 0.04566, 0.03334, 0.04578]","[0.563, 1.445, 0.697, 1.187, 0.829, 0.839]","['B_3503', 'B_4901', 'C_0102', 'DPB1_0301', 'DQB1_0201', 'DRB1_0301']",3
"Agorophobia, social phobia, and panic disorder",17,7,"[0.04251, 0.03761, 0.03858, 0.01378, 0.03613, 0.008814, 0.03414]","[1.46, 0.421, 2.131, 2.173, 0.418, 0.387, 1.781]","['A_2402', 'B_2705', 'B_3901', 'B_4901', 'C_0202', 'DPB1_0101', 'DQB1_0503']",3
Alkalosis,13,6,"[0.002567, 0.0395, 0.03244, 0.0468, 0.03793, 0.003735, 0.04996, 0.03733]","[1.761, 0.661, 2.186, 2.067, 0.523, 2.153, 0.684, 0.665]","['A_1101', 'B_0801', 'B_1401', 'B_3901', 'DPB1_0101', 'DPB1_1101', 'DQB1_0201', 'DRB1_0301']",3
Allergic reaction to food,10,1,"[0.0139, 0.01582, 0.04917, 0.04063, 0.03077]","[2.655, 0.606, 1.833, 0.584, 2.061]","['C_1402', 'DQA1_0301', 'DQA1_0401', 'DQB1_0302', 'DRB1_0801']",3
Amyotrophic Lateral Sclerosis,16,1,[0.04037],[2.144],['A_2501'],3
Angina pectoris,16,5,"[0.004182, 0.003314, 0.008524, 0.00436, 0.04803]","[1.331, 0.364, 1.723, 0.628, 1.177]","['A_1101', 'B_3801', 'B_4002', 'C_1203', 'DRB1_0301']",3
Anomalies of tooth position/malocclusion,13,2,"[0.02342, 0.001895, 0.03164, 0.01165, 0.009288]","[2.039, 3.218, 1.613, 1.792, 1.817]","['B_1801', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Anterior horn cell disease,17,3,"[0.049, 0.01108, 0.04953, 0.04892]","[0.316, 0.448, 0.624, 0.624]","['B_5701', 'C_0602', 'DQA1_0201', 'DRB1_0701']",3
Arteritis NOS,16,5,"[0.0382, 0.03995, 0.02144, 0.0403]","[0.471, 0.127, 1.498, 0.494]","['B_4403', 'DPB1_1101', 'DQB1_0302', 'DRB1_1301']",3
Attention deficit hyperactivity disorder,17,7,"[0.02991, 0.007436, 0.02714, 0.03784, 0.004453, 0.03167]","[0.741, 0.657, 1.782, 0.695, 1.995, 1.639]","['A_0101', 'B_0801', 'B_4901', 'C_0602', 'DPB1_1001', 'DQB1_0503']",3
Benign neoplasm of breast,17,8,"[0.0421, 0.0274, 0.02047, 0.01185, 0.04224, 0.03325, 0.03417]","[2.26, 2.418, 0.438, 1.874, 2.254, 2.231, 2.222]","['A_2601', 'B_5501', 'DPB1_0201', 'DPB1_0402', 'DPB1_1101', 'DQB1_0402', 'DQB1_0503']",3
Benign neoplasm of eye,13,5,"[0.001888, 0.001825, 0.00512]","[2.46, 0.353, 2.558]","['DPA1_0202', 'DPB1_0201', 'DPB1_0501']",3
"Benign neoplasm of lip, oral cavity, and pharynx",13,0,"[0.04946, 0.03372, 0.04761, 0.02199]","[0.641, 1.902, 1.596, 2.314]","['DPB1_0402', 'DPB1_0601', 'DRB1_0404', 'DRB1_0407']",3
Blood in stool,17,6,"[0.01661, 0.03742, 0.001225, 0.04604, 0.0265, 0.0242, 0.04032]","[1.352, 1.281, 1.245, 1.174, 1.5, 1.255, 0.632]","['A_3101', 'C_0802', 'DQB1_0301', 'DRB1_0101', 'DRB1_0407', 'DRB1_1101', 'DRB1_1401']",3
Bronchitis,14,2,"[0.03996, 0.0367, 0.02081, 0.01757, 0.01932, 0.03934, 0.04494]","[2.123, 1.651, 0.601, 1.845, 2.258, 1.823, 0.133]","['B_3901', 'B_5701', 'DPB1_0301', 'DQA1_0401', 'DQB1_0502', 'DRB1_0801', 'DRB1_1104']",3
Bundle branch block,16,5,"[0.01504, 0.03497]","[0.242, 1.599]","['B_3801', 'C_0704']",3
Cachexia,13,3,"[0.01256, 0.01142, 0.02391, 0.0086]","[1.992, 2.043, 0.56, 2.553]","['A_1101', 'B_4001', 'DQA1_0501', 'DQB1_0503']",3
Cancer of esophagus,10,2,"[0.008322, 0.00272, 0.01423, 0.02381, 0.02476]","[1.644, 2.209, 1.665, 1.388, 1.385]","['B_4403', 'C_0704', 'C_1601', 'DQA1_0201', 'DRB1_0701']",3
Cancer of eye,13,5,"[0.03547, 0.01196, 0.01813, 0.03205, 0.001047]","[2.639, 2.119, 2.077, 1.59, 2.87]","['B_1401', 'C_0802', 'DPA1_0202', 'DPB1_0201', 'DPB1_0501']",3
Cancer of larynx,16,6,"[0.008785, 0.01547, 0.02375, 0.008748, 0.01716, 0.02407, 0.003235, 0.001452, 0.002347, 0.02474, 0.0214, 0.04622, 0.002093]","[1.669, 1.466, 1.228, 1.273, 0.374, 1.221, 1.565, 1.302, 1.319, 0.618, 0.812, 1.518, 1.29]","['A_3001', 'B_1302', 'C_0501', 'C_0602', 'C_1402', 'DPB1_0301', 'DPB1_1101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0503', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701']",3
"Cancer of larynx, pharynx, nasal cavities",16,6,"[0.04892, 0.03211, 0.00304, 0.04808, 0.007536, 0.04219, 0.001367, 0.002618, 0.004323, 0.01401, 0.00916, 0.003605, 0.04372]","[1.15, 1.481, 1.51, 0.545, 1.246, 0.536, 1.546, 1.25, 1.263, 0.821, 1.604, 1.241, 0.577]","['A_0101', 'A_3001', 'B_1302', 'B_4002', 'C_0602', 'C_1402', 'DPB1_1101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701', 'DRB1_1201']",3
Cancer of mouth,16,6,"[0.01819, 0.03367, 0.007699, 0.01037, 0.04736, 0.01477, 0.03919, 0.03963, 0.03575, 0.03271, 0.0419, 0.01102, 0.04996, 0.02097, 0.04318]","[1.506, 0.645, 0.495, 0.693, 1.222, 1.277, 1.436, 0.831, 0.736, 1.221, 1.21, 1.296, 0.82, 1.672, 1.209]","['A_2501', 'A_6801', 'B_1402', 'B_1501', 'B_4402', 'C_0501', 'DPB1_1101', 'DQA1_0102', 'DQA1_0103', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701']",3
Cancer of nasopharynx,14,5,"[0.004077, 9.26e-05, 0.002444, 0.0458, 0.005285, 0.01783, 0.03036]","[3.863, 4.163, 2.348, 0.483, 3.096, 0.384, 0.325]","['A_3001', 'B_1302', 'C_0602', 'C_0702', 'DPB1_0601', 'DQA1_0101', 'DRB1_0101']",3
Cancer of of nasal cavities,13,6,"[0.001455, 0.02714, 0.02398, 0.0297]","[2.659, 2.541, 2.12, 2.511]","['B_1302', 'B_3901', 'DPB1_1101', 'DQB1_0502']",3
Cancer of oropharynx,16,6,"[0.02203, 0.03261, 0.003943, 0.04626, 0.01208, 0.04825, 0.003893, 0.03253, 0.005605, 0.0014, 0.001278, 0.01223, 0.001739, 0.002331, 0.005656]","[1.325, 0.668, 0.519, 1.741, 1.534, 0.568, 1.891, 0.76, 0.516, 1.496, 1.553, 0.558, 2.333, 1.47, 0.489]","['A_0101', 'A_2402', 'B_1501', 'B_3701', 'B_4403', 'C_1203', 'DPB1_1101', 'DQA1_0102', 'DQA1_0103', 'DQA1_0201', 'DQB1_0202', 'DQB1_0603', 'DRB1_0407', 'DRB1_0701', 'DRB1_1301']",3
Cancer of other endocrine glands,14,0,"[0.03457, 0.04735, 0.004489, 0.02004]","[2.682, 0.512, 3.374, 1.985]","['B_3801', 'DPB1_0402', 'DPB1_1401', 'DQB1_0303']",3
Carcinoma in situ of skin,13,0,"[0.01325, 0.0201, 0.008795, 0.03105, 0.03384, 0.02886]","[1.719, 0.622, 2.052, 0.604, 1.388, 1.626]","['B_5101', 'DPB1_0201', 'DPB1_0601', 'DQB1_0202', 'DQB1_0301', 'DRB1_0404']",3
Cardiac and circulatory congenital anomalies,18,6,"[0.00202, 0.01744, 0.04066, 0.03316, 0.02402, 0.04553]","[1.45, 1.183, 0.767, 1.16, 0.845, 1.229]","['A_3101', 'B_0702', 'B_1801', 'C_0702', 'DPA1_0201', 'DQB1_0303']",3
Cardiac arrest and ventricular fibrillation,15,0,"[0.003565, 0.02722, 0.03269, 0.01962, 0.04189, 0.001895]","[1.873, 1.637, 1.905, 1.925, 1.358, 2.473]","['A_3201', 'A_6801', 'B_3701', 'C_0704', 'DPB1_0402', 'DRB1_1201']",3
Cardiac congenital anomalies,18,6,"[0.002665, 0.02055, 0.04299, 0.03684, 0.03762]","[1.455, 1.185, 0.849, 1.163, 0.852]","['A_3101', 'B_0702', 'B_0801', 'C_0702', 'DPA1_0201']",3
Cardiac defibrillator in situ,16,5,"[0.004243, 0.02932, 0.04617]","[1.939, 0.37, 1.614]","['B_1401', 'B_3801', 'DPB1_1701']",3
Cardiac shunt/ heart septal defect,18,6,"[0.02152, 0.01448, 0.0427, 0.04808, 0.02292, 0.0433]","[0.812, 1.446, 0.834, 0.841, 0.806, 0.755]","['A_0101', 'A_3101', 'C_0701', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101']",3
Cardiomyopathy,16,5,"[0.04793, 0.01811]","[0.626, 1.199]","['B_3801', 'C_0304']",3
Celiac disease,11,0,"[0.001747, 1.146e-05, 0.0003166, 0.0006451, 0.03031, 0.03191, 2.164e-07, 2.934e-11, 0.04138, 0.03116, 2.333e-11, 0.009082]","[2.049, 2.74, 2.281, 2.479, 0.557, 0.566, 3.784, 4.811, 1.689, 0.545, 4.85, 0.355]","['A_0101', 'B_0801', 'C_0701', 'DPB1_0101', 'DQA1_0102', 'DQA1_0301', 'DQA1_0501', 'DQB1_0201', 'DQB1_0202', 'DQB1_0301', 'DRB1_0301', 'DRB1_0401']",3
"Cellulitis and abscess of leg, except foot",16,2,"[0.02069, 0.03281, 0.02816, 0.01019, 0.007236, 0.008071, 0.04071]","[1.673, 1.514, 1.343, 0.751, 1.291, 1.369, 0.609]","['B_1401', 'B_4901', 'B_5701', 'C_0401', 'C_0602', 'DQB1_0303', 'DRB1_1104']",3
Cerebral atherosclerosis,16,6,"[0.0469, 0.004934, 0.01518, 0.02711, 0.001788, 0.03279, 0.03328, 0.03453]","[2.005, 2.08, 0.414, 0.539, 1.661, 1.384, 1.425, 1.38]","['A_3001', 'B_1302', 'B_5101', 'C_0303', 'C_0602', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",3
Cerebral cysts,18,7,"[0.04074, 0.04813, 0.04622, 0.001567, 0.02486, 0.03469]","[0.511, 3.295, 3.346, 3.739, 2.068, 3.058]","['A_0201', 'DPB1_1401', 'DQB1_0502', 'DQB1_0503', 'DRB1_0401', 'DRB1_1401']",3
Cerebrovascular disease,16,5,"[0.02491, 0.009886, 0.01198]","[1.231, 1.397, 1.137]","['B_1302', 'B_4002', 'C_0602']",3
Certain early complications of trauma or procedure,12,4,"[0.004466, 0.02573, 0.02117, 0.01176]","[1.572, 1.329, 1.342, 0.522]","['DPB1_0101', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101']",3
Cervical cancer and dysplasia,15,8,"[0.003751, 0.03491, 0.03659, 0.01699, 0.01218, 0.04149, 0.04746, 0.01003, 0.03805, 0.03072]","[1.467, 1.414, 0.782, 0.734, 0.597, 1.246, 0.769, 1.363, 1.723, 1.395]","['A_2402', 'B_5101', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQA1_0301', 'DQB1_0201', 'DQB1_0302', 'DRB1_0407', 'DRB1_1101']",3
Cholelithiasis,17,0,"[0.04279, 0.02577, 0.01108, 0.04076, 0.03706, 0.004361, 0.03316, 0.004295]","[1.362, 0.797, 1.491, 0.85, 1.37, 1.448, 0.814, 1.402]","['B_1402', 'C_0501', 'DPB1_0501', 'DQA1_0301', 'DQB1_0503', 'DQB1_0604', 'DRB1_0401', 'DRB1_1302']",3
Cholesteatoma,15,6,"[0.004537, 0.03855]","[2.903, 2.281]","['C_1502', 'DPB1_1101']",3
Chronic bronchitis,17,2,"[0.0074, 0.04623, 0.0364, 0.01717, 0.04374, 0.01085]","[1.459, 1.304, 1.346, 0.766, 0.709, 1.246]","['A_6801', 'B_2705', 'C_0102', 'C_0401', 'C_1601', 'DQA1_0101']",3
Chronic fatigue syndrome,18,8,"[0.004613, 0.04096, 0.03658, 0.04691, 0.02285, 0.04912]","[2.35, 2.199, 0.373, 2.384, 0.342, 0.425]","['A_2402', 'A_2902', 'B_0801', 'B_1402', 'DQB1_0201', 'DRB1_0301']",3
Chronic interstitial cystitis,13,5,"[0.02851, 0.04613, 0.01253, 0.005786]","[0.434, 2.145, 2.755, 3.328]","['B_0702', 'DPA1_0202', 'DPB1_0501', 'DPB1_1301']",3
Circumscribed scleroderma,16,7,"[0.04344, 0.007404]","[2.887, 3.239]","['B_4901', 'DPB1_0601']",3
Colon cancer,11,1,"[0.001017, 0.01091, 0.01307, 0.04428, 0.03796, 0.03744, 0.02706, 0.02669]","[1.608, 1.293, 0.775, 1.158, 1.242, 0.661, 0.628, 1.503]","['A_2501', 'C_0303', 'C_0304', 'DPA1_0103', 'DPB1_0101', 'DPB1_1101', 'DRB1_0801', 'DRB1_0901']",3
Colorectal cancer,11,1,"[0.03563, 0.0004646, 0.01851, 0.01262, 0.002352, 0.03421, 0.01999, 0.01309, 0.04963, 0.02359]","[0.872, 1.603, 1.404, 1.266, 0.745, 1.289, 1.252, 0.626, 0.694, 1.477]","['A_0201', 'A_2501', 'B_5501', 'C_0303', 'C_0304', 'DPA1_0202', 'DPB1_0101', 'DPB1_1101', 'DRB1_0801', 'DRB1_0901']",3
Complex regional/central pain syndrome,10,2,"[0.02381, 0.00541, 0.04614, 0.009797, 0.009704, 0.003799, 0.005129]","[0.355, 1.994, 2.189, 2.016, 1.675, 1.838, 1.742]","['B_4001', 'B_4403', 'B_4901', 'C_1601', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",3
Complication of amputation stump,15,7,"[0.01383, 0.00402, 0.04142, 0.005459, 0.03285]","[2.496, 3.531, 1.817, 3.384, 1.931]","['B_5101', 'C_1502', 'DPA1_0103', 'DPB1_0501', 'DQB1_0302']",3
Congenital anomalies of genital organs,18,6,[0.009788],[2.431],['B_3503'],3
Congenital anomalies of great vessels,18,6,"[0.03898, 0.03341, 0.02451]","[1.276, 1.728, 0.721]","['B_0702', 'B_3701', 'DPB1_0402']",3
Congenital anomalies of male genital organs,18,6,[0.04076],[2.355],['B_3503'],3
Congenital anomalies of peripheral vascular system,12,0,"[0.045, 0.002088, 0.005613, 0.04716, 0.04072, 0.02888, 0.02737]","[1.602, 2.082, 1.904, 1.805, 1.608, 0.394, 0.437]","['A_0101', 'B_0801', 'C_0701', 'DPB1_0101', 'DQA1_0501', 'DQB1_0202', 'DRB1_0401']",3
Congenital anomalies of skin,10,1,"[0.03814, 0.003211, 0.01054, 0.01329, 0.03767, 0.02605, 0.002712]","[2.607, 0.474, 2.283, 2.3, 2.619, 0.489, 2.744]","['C_1402', 'DQA1_0301', 'DQA1_0401', 'DQB1_0402', 'DQB1_0502', 'DRB1_0401', 'DRB1_0801']",3
Congenital anomalies of urinary system,12,2,"[0.01191, 0.00553, 0.004638, 0.0181, 0.02382, 0.004137, 0.01817, 0.02855, 0.01289, 0.0372]","[0.406, 1.444, 1.399, 0.713, 1.652, 1.369, 0.75, 0.737, 0.737, 1.527]","['B_1302', 'B_4001', 'C_0304', 'C_0602', 'C_0704', 'DPB1_0402', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701', 'DRB1_1104']",3
Congenital coagulation defects,18,9,"[0.02248, 0.02341, 0.03642, 0.04157, 0.03662, 0.02382]","[1.629, 2.458, 1.92, 0.532, 1.541, 1.867]","['A_0301', 'B_4901', 'C_1203', 'DPB1_0402', 'DQA1_0102', 'DRB1_1101']",3
Congestive heart failure (CHF) NOS,16,5,"[0.01483, 0.02512, 0.001613, 0.002776, 0.03065, 0.00163]","[0.773, 0.834, 1.251, 0.629, 0.855, 0.768]","['A_2601', 'A_2902', 'B_2705', 'B_3801', 'B_4403', 'C_1601']",3
Congestive heart failure; nonhypertensive,16,5,"[0.004089, 0.009216, 0.006054, 0.004888, 0.01937, 0.0491, 0.001142]","[0.75, 0.819, 1.204, 0.672, 0.854, 1.102, 0.775]","['A_2601', 'A_2902', 'B_2705', 'B_3801', 'B_4403', 'C_0602', 'C_1601']",3
Contracture of palmar fascia [Dupuytren's disease],18,4,"[0.04526, 0.02421]","[1.681, 1.784]","['A_0301', 'C_0702']",3
Convulsions,17,3,"[0.01104, 0.00893, 0.03739]","[0.584, 1.233, 0.777]","['B_3503', 'C_0303', 'DQB1_0604']",3
Corneal dystrophy,15,9,[0.01131],[1.828],['DQB1_0202'],3
Corneal opacity,18,5,"[0.02294, 0.002774]","[1.609, 3.043]","['A_0101', 'B_3701']",3
Corns and callosities,11,2,"[0.02489, 0.02636, 0.04868, 0.03555, 0.008093, 0.04159, 0.04218, 0.04068, 0.03649]","[1.979, 1.927, 0.538, 0.484, 1.781, 0.618, 0.512, 1.822, 0.466]","['A_2501', 'A_2601', 'B_1501', 'C_0303', 'DPB1_0101', 'DPB1_0402', 'DQA1_0103', 'DQB1_0503', 'DRB1_1301']",3
Curvature of spine,14,8,"[0.0165, 0.03067, 0.01822, 0.01132, 0.008724, 0.001658]","[1.429, 1.478, 0.608, 0.639, 0.569, 1.412]","['A_2902', 'B_1402', 'B_2705', 'B_3501', 'C_0202', 'C_0602']",3
Cystic fibrosis,14,3,"[0.01478, 0.03641, 0.02437, 0.01517, 0.02777, 0.004002]","[0.176, 0.122, 1.467, 0.177, 1.73, 1.877]","['A_3201', 'B_1402', 'C_0702', 'C_0802', 'C_1601', 'DRB1_1101']",3
Cystic kidney disease,12,2,"[0.04365, 0.0159, 0.002479, 0.02605, 0.01091, 0.004784, 0.01621, 0.04648, 0.04465]","[1.543, 1.474, 1.534, 0.671, 1.903, 1.452, 0.337, 1.81, 0.311]","['A_3101', 'B_4001', 'C_0304', 'C_0602', 'C_0704', 'DPB1_0402', 'DQB1_0503', 'DRB1_0103', 'DRB1_1401']",3
Deep vein thrombosis [DVT],16,5,[0.03675],[1.341],['A_6801'],3
Degenerative disease of the spinal cord,16,1,"[0.0105, 0.0455, 0.03829, 0.04105]","[1.695, 0.792, 0.475, 1.262]","['A_2501', 'DPA1_0103', 'DPB1_1101', 'DRB1_1501']",3
"Dentofacial anomalies, including malocclusion",13,2,"[0.01517, 0.04032, 0.003216, 0.03269, 0.008524, 0.006976]","[2.085, 1.62, 3.018, 1.587, 1.803, 1.823]","['B_1801', 'DPB1_0402', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
"Derangement of joint, non-traumatic",17,9,"[0.03272, 0.02254, 0.03752, 0.0293, 0.0478, 0.01671, 0.03031, 0.01288, 0.02497]","[0.554, 1.512, 0.664, 1.588, 0.509, 2.112, 1.481, 1.562, 1.523]","['B_3501', 'C_0303', 'C_0501', 'C_1203', 'C_1601', 'DPB1_1401', 'DQA1_0103', 'DQB1_0603', 'DRB1_1301']",3
Dermatophytosis of nail,15,5,"[0.03877, 0.04155, 0.002399, 0.01479, 0.01194, 0.0008985, 0.003144, 0.01084]","[0.697, 1.551, 1.407, 1.226, 1.246, 1.462, 0.766, 0.759]","['A_2902', 'B_3801', 'B_4001', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQB1_0301', 'DRB1_0401']",3
Dermatophytosis of the body,12,0,"[0.001276, 0.003793, 0.03273, 0.01536, 0.005507, 0.01803, 0.002821, 0.002425]","[2.022, 1.939, 0.404, 1.71, 2.132, 1.901, 1.96, 1.981]","['A_0101', 'B_0801', 'C_0304', 'C_0701', 'DPB1_0101', 'DPB1_0401', 'DQB1_0201', 'DRB1_0301']",3
Diabetes type 2 with peripheral circulatory disorders,15,5,"[0.04077, 0.04622, 0.04402, 0.04393, 0.01708, 0.0351, 0.02789]","[1.744, 1.332, 1.353, 0.733, 0.682, 1.718, 1.819]","['A_2501', 'DPA1_0103', 'DPA1_0201', 'DQA1_0301', 'DQB1_0301', 'DQB1_0503', 'DRB1_0801']",3
Disease of tricuspid valve,16,5,"[0.04837, 0.0452, 0.00254, 0.0395, 0.006287]","[0.468, 1.525, 1.698, 1.5, 1.675]","['A_2601', 'A_3101', 'B_2705', 'C_0102', 'DQB1_0604']",3
Diseases of the larynx and vocal cords,14,3,"[0.01366, 0.02357, 0.02679, 0.01583]","[1.192, 0.749, 0.725, 1.388]","['A_0101', 'B_4403', 'C_1601', 'DQB1_0503']",3
Disorders of calcium/phosphorus metabolism,14,1,"[0.02143, 0.02326, 0.01776, 0.002543, 0.02845, 0.01977, 0.001076, 0.01961, 0.04454]","[1.328, 1.24, 1.26, 1.294, 0.844, 1.204, 1.774, 1.285, 1.353]","['A_3201', 'B_1501', 'B_4001', 'C_0304', 'C_0701', 'DQB1_0302', 'DRB1_0103', 'DRB1_0404', 'DRB1_0801']",3
Disorders of phosphorus metabolism,14,1,"[0.00635, 0.0485, 0.01152, 0.01599, 0.007908, 0.02193, 0.04562]","[0.709, 1.269, 0.754, 1.303, 1.887, 1.398, 0.405]","['B_0801', 'C_0304', 'C_0701', 'DQB1_0302', 'DRB1_0103', 'DRB1_0404', 'DRB1_0901']",3
Disorders of the autonomic nervous system,17,3,"[0.03281, 0.03731, 0.01271]","[1.672, 1.712, 2.194]","['B_2705', 'C_0102', 'DPB1_1001']",3
Disorders of the globe,14,6,"[0.01854, 0.02654, 0.002826]","[1.702, 2.57, 0.47]","['A_0201', 'B_3701', 'DQA1_0501']",3
Disorders of the pituitary gland and its hypothalamic control,13,3,"[0.04049, 0.03419, 0.01006, 0.01176, 0.04729]","[1.236, 0.633, 1.477, 1.479, 1.449]","['A_0301', 'A_2902', 'B_1801', 'C_1203', 'DQB1_0503']",3
Disorders of tooth development,15,2,"[0.04456, 0.04959, 0.03071, 0.01881, 0.0237, 0.006024]","[0.133, 0.601, 0.577, 1.584, 1.579, 2.982]","['A_6801', 'B_0702', 'C_0702', 'DPA1_0103', 'DPA1_0201', 'DQB1_0502']",3
Disturbances in tooth eruption,15,2,"[0.04425, 0.04684, 0.01588, 0.02528, 0.003765]","[1.587, 1.851, 1.624, 1.591, 3.177]","['C_0401', 'C_0802', 'DPA1_0103', 'DPA1_0201', 'DQB1_0502']",3
Disturbances of amino-acid transport,14,1,"[0.01247, 0.02982, 0.01649, 0.0194]","[2.008, 2.041, 2.046, 1.888]","['B_0801', 'B_4001', 'C_0304', 'C_0701']",3
Dizziness and giddiness (Light-headedness and vertigo),16,8,"[0.04596, 0.01539, 0.03315, 0.03107, 0.04034, 0.008202, 0.006156]","[1.204, 0.871, 0.694, 1.142, 0.893, 0.749, 0.686]","['A_3201', 'B_0702', 'B_3801', 'C_0602', 'C_0702', 'DPA1_0202', 'DPB1_0501']",3
Dysmetabolic syndrome X,16,5,"[0.03207, 0.01687, 0.02914]","[0.286, 1.934, 0.401]","['A_2902', 'A_6801', 'B_3501']",3
Dysuria,14,3,"[0.009273, 0.04217, 0.0217, 0.01731, 0.0378, 0.003328, 0.007676, 0.02725, 0.03719]","[1.56, 0.852, 1.251, 1.292, 1.144, 0.795, 0.812, 1.239, 1.244]","['A_3001', 'B_0801', 'B_4403', 'C_1601', 'DQA1_0102', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101', 'DRB1_1302']",3
Enthesopathy,17,4,"[0.009338, 0.0204, 0.04228, 0.02644]","[0.737, 0.682, 0.868, 1.184]","['B_3501', 'DQA1_0401', 'DQB1_0301', 'DQB1_0302']",3
Epilepsy,17,3,"[0.04662, 0.0195, 0.04724, 0.04843, 0.03515]","[0.846, 1.211, 1.382, 1.178, 1.327]","['A_0101', 'A_0301', 'A_2501', 'B_0702', 'C_0102']",3
"Epilepsy, recurrent seizures, convulsions",17,3,"[0.02114, 0.0323]","[0.649, 1.176]","['B_3503', 'C_0303']",3
Essential hypertension,16,5,"[0.04336, 0.02248, 0.0103]","[1.125, 0.894, 0.868]","['A_6801', 'B_4403', 'C_1601']",3
Essential tremor,11,4,"[0.004194, 0.03767, 0.003082, 0.02693, 0.001497, 0.04002, 0.02984, 0.03888]","[1.85, 1.529, 1.745, 1.595, 2.532, 0.719, 1.925, 1.914]","['A_6801', 'B_2705', 'B_5101', 'B_5701', 'C_1402', 'DQA1_0101', 'DRB1_0901', 'DRB1_1201']",3
