phewas_string,x,y,p_values,odds_ratios,snps,cluster
Acute pulmonary heart disease,2,3,"[0.02428, 0.006293]","[1.632, 1.479]","['B_4901', 'DRB1_1302']",2
Acute sinusitis,3,2,"[0.01307, 0.01338, 0.0148, 0.03327, 0.03268, 0.02018, 0.04259]","[0.861, 0.557, 1.254, 0.862, 0.788, 0.885, 1.366]","['A_0301', 'B_1401', 'B_5701', 'C_0401', 'C_0802', 'DQA1_0501', 'DQB1_0502']",2
Acute vascular insufficiency of intestine,3,3,"[0.02985, 0.02036, 0.04057]","[0.418, 0.448, 2.609]","['B_0801', 'C_0701', 'C_0704']",2
"Acute, but ill-defined cerebrovascular disease",2,4,[0.03625],[1.446],['A_6801'],2
Adverse drug events and drug allergies,4,3,"[0.007866, 0.01519, 0.005636, 0.0422, 0.01031, 0.02445, 0.03448]","[1.595, 1.338, 0.716, 1.408, 0.789, 0.641, 1.167]","['A_3001', 'A_3201', 'B_3501', 'B_4901', 'C_0401', 'DPB1_0501', 'DRB1_1501']",2
Adverse effects of sedatives or other central nervous system depressants and anesthetics,4,0,"[0.03816, 0.005106, 0.04748, 0.02283, 0.02226, 0.002106, 0.002082, 0.03838]","[2.691, 2.229, 1.987, 1.771, 1.729, 2.144, 2.519, 1.894]","['B_3801', 'B_4001', 'C_1203', 'DPB1_0201', 'DQA1_0301', 'DQB1_0302', 'DRB1_0404', 'DRB1_1301']",2
"Agorophobia, social phobia, and panic disorder",5,4,"[0.04251, 0.03761, 0.03858, 0.01378, 0.03613, 0.008814, 0.03414]","[1.46, 0.421, 2.131, 2.173, 0.418, 0.387, 1.781]","['A_2402', 'B_2705', 'B_3901', 'B_4901', 'C_0202', 'DPB1_0101', 'DQB1_0503']",2
"Allergies, other",5,3,"[0.02605, 0.01736]","[0.523, 0.45]","['DQA1_0101', 'DQB1_0501']",2
Amyotrophic Lateral Sclerosis,2,2,[0.04037],[2.144],['A_2501'],2
Anaphylactic shock NOS,5,3,"[0.04603, 0.01229]","[0.653, 2.701]","['A_0201', 'B_3503']",2
Angina pectoris,2,5,"[0.004182, 0.003314, 0.008524, 0.00436, 0.04803]","[1.331, 0.364, 1.723, 0.628, 1.177]","['A_1101', 'B_3801', 'B_4002', 'C_1203', 'DRB1_0301']",2
Ankylosing spondylitis,5,1,"[0.04905, 1.606e-30, 1.416e-11, 1.137e-09, 0.005115, 0.002388, 0.04661, 0.04769, 0.02144, 0.02721, 0.03054, 0.02475, 0.0007635, 0.02589, 0.02895, 0.02305, 0.02114]","[0.426, 34.7, 7.062, 5.821, 0.298, 4.196, 1.739, 0.135, 1.862, 0.384, 1.796, 1.893, 2.581, 3.201, 0.388, 1.931, 2.245]","['B_0801', 'B_2705', 'C_0102', 'C_0202', 'C_0701', 'DPB1_1401', 'DQA1_0101', 'DQA1_0103', 'DQA1_0301', 'DQB1_0201', 'DQB1_0301', 'DQB1_0501', 'DRB1_0101', 'DRB1_0103', 'DRB1_0301', 'DRB1_0401', 'DRB1_0404']",2
Anomalous atrioventricular excitation,4,2,"[0.009773, 0.00681, 0.006085, 0.01525, 0.03738]","[1.931, 2.933, 1.895, 0.546, 1.633]","['B_1501', 'B_3701', 'C_0602', 'DQA1_0102', 'DRB1_0101']",2
Anorexia,2,2,"[0.01461, 0.03434, 0.00692]","[1.587, 1.323, 1.514]","['A_2501', 'B_4001', 'B_5701']",2
Anterior horn cell disease,1,4,"[0.049, 0.01108, 0.04953, 0.04892]","[0.316, 0.448, 0.624, 0.624]","['B_5701', 'C_0602', 'DQA1_0201', 'DRB1_0701']",2
Antineoplastic and immunosuppressive drugs causing adverse effects,5,3,"[0.02396, 0.03067, 0.04649, 0.03375]","[1.334, 0.543, 0.698, 1.195]","['A_2902', 'C_0704', 'DPA1_0202', 'DQB1_0602']",2
Arrhythmia (cardiac) NOS,4,3,"[0.002326, 0.001064, 0.0004944, 0.02426]","[1.401, 1.388, 1.413, 1.465]","['A_3201', 'B_2705', 'C_0202', 'DRB1_0103']",2
Arteritis NOS,2,3,"[0.0382, 0.03995, 0.02144, 0.0403]","[0.471, 0.127, 1.498, 0.494]","['B_4403', 'DPB1_1101', 'DQB1_0302', 'DRB1_1301']",2
Arthropathy NOS,3,1,"[0.0003865, 0.01246, 0.001876, 0.005388, 0.02715, 0.01305, 0.03369]","[0.615, 1.359, 0.7, 0.697, 0.833, 0.76, 0.69]","['A_2902', 'B_1402', 'B_4403', 'C_1601', 'DQB1_0202', 'DRB1_1101', 'DRB1_1104']",2
Arthropathy associated with neurological disorders,2,2,"[0.02872, 0.01407, 0.02121, 0.03215, 0.02424, 0.01676, 0.01599, 0.03395]","[0.276, 2.512, 2.19, 0.215, 0.383, 0.459, 0.407, 0.431]","['A_1101', 'A_2501', 'A_6801', 'B_3501', 'C_0401', 'DQA1_0101', 'DQB1_0501', 'DRB1_0101']",2
Arthropathy associated with other disorders classified elsewhere,2,2,"[0.02374, 0.03205, 0.03256, 0.03114, 0.0195, 0.04445, 0.02554]","[0.354, 2.121, 1.934, 0.333, 0.442, 0.526, 2.188]","['A_1101', 'A_2501', 'A_6801', 'B_3501', 'C_0401', 'DRB1_0101', 'DRB1_0801']",2
Atherosclerosis of aorta,2,5,"[0.02108, 0.03488, 0.005309, 0.04884, 0.04821, 0.01315]","[1.583, 2.298, 1.965, 1.44, 1.436, 2.096]","['A_1101', 'B_1401', 'C_0102', 'C_0602', 'DQB1_0202', 'DRB1_1104']",2
Atherosclerosis of native arteries of the extremities with ulceration or gangrene,5,5,"[0.01312, 0.02928, 0.02008]","[1.596, 1.533, 2.097]","['DPB1_0201', 'DQB1_0302', 'DRB1_0801']",2
Atrial fibrillation and flutter,3,4,"[0.03113, 0.005582, 0.02776, 0.04375, 0.01153]","[1.108, 1.257, 0.836, 1.143, 1.202]","['A_0301', 'A_3201', 'C_1601', 'DPB1_0101', 'DRB1_1302']",2
Atrial flutter,4,4,"[0.01785, 0.02285, 0.03929, 0.009032, 0.01179, 0.004127, 0.03106, 0.02721, 0.02687, 0.02609]","[1.415, 0.438, 0.423, 1.783, 1.646, 1.453, 0.791, 1.517, 0.799, 1.338]","['A_3201', 'B_3801', 'B_3901', 'B_4002', 'B_4901', 'C_0202', 'C_0501', 'C_0704', 'DQB1_0501', 'DRB1_1302']",2
Atrioventricular [AV] block,2,3,"[0.04762, 0.001434, 0.003854, 0.04464]","[1.408, 1.443, 0.771, 1.304]","['A_2501', 'DPB1_0101', 'DQB1_0301', 'DRB1_1302']",2
"Atrioventricular block, complete",2,3,"[0.01589, 0.001852, 0.0488]","[1.419, 0.697, 1.355]","['DPB1_0101', 'DQB1_0301', 'DQB1_0303']",2
Atrophic gastritis,1,3,"[0.04999, 0.03597, 0.02726]","[1.867, 1.497, 0.397]","['A_2601', 'DQB1_0501', 'DRB1_1301']",2
Attention deficit hyperactivity disorder,5,4,"[0.02991, 0.007436, 0.02714, 0.03784, 0.004453, 0.03167]","[0.741, 0.657, 1.782, 0.695, 1.995, 1.639]","['A_0101', 'B_0801', 'B_4901', 'C_0602', 'DPB1_1001', 'DQB1_0503']",2
Bacteremia,5,6,"[0.009889, 0.009016, 0.02568]","[1.352, 1.49, 1.189]","['A_3101', 'B_3701', 'C_0304']",2
Bacterial enteritis,4,6,"[0.03475, 0.03126, 0.02583, 0.03447, 0.01528, 0.04259, 0.01848, 0.03363, 0.0008414, 0.01454]","[1.487, 1.314, 1.423, 0.804, 0.761, 0.586, 1.727, 0.788, 0.659, 1.399]","['A_2501', 'B_4001', 'C_0102', 'C_0701', 'DQB1_0201', 'DQB1_0503', 'DRB1_0103', 'DRB1_0301', 'DRB1_0401', 'DRB1_0404']",2
Bacterial infection NOS,5,6,"[0.004877, 0.04245, 0.01716]","[1.251, 1.129, 0.905]","['A_3101', 'C_0303', 'DPB1_0401']",2
Benign neoplasm of adrenal gland,1,0,"[0.04753, 0.04113, 0.009866, 0.04967, 0.04022, 0.01917, 0.02446]","[3.273, 1.816, 0.155, 2.015, 0.294, 3.415, 2.233]","['B_4002', 'DQA1_0301', 'DQB1_0501', 'DQB1_0603', 'DRB1_0101', 'DRB1_0901', 'DRB1_1301']",2
"Benign neoplasm of brain, cranial nerves, meninges",0,1,"[0.007433, 0.005437, 0.04726, 0.0421, 0.01184]","[1.791, 1.468, 0.765, 1.546, 1.44]","['DPB1_1001', 'DQA1_0103', 'DRB1_0401', 'DRB1_1104', 'DRB1_1301']",2
Benign neoplasm of other endocrine glands and related structures,3,2,"[0.03212, 0.02135, 0.02868, 0.02525, 0.02588]","[1.382, 0.195, 1.555, 0.713, 2.155]","['A_0301', 'B_1402', 'B_4403', 'DQA1_0501', 'DQB1_0502']",2
Benign neoplasm of skin,0,1,"[0.001077, 0.01453, 0.01494, 0.004143, 0.008426]","[1.445, 1.437, 1.213, 1.254, 1.242]","['A_2601', 'B_3801', 'DQA1_0103', 'DQB1_0603', 'DRB1_1301']",2
Benign neoplasm of thyroid glands,4,5,"[0.009939, 0.01683]","[1.968, 0.551]","['A_0201', 'DPB1_0401']",2
Bundle branch block,2,3,"[0.01504, 0.03497]","[0.242, 1.599]","['B_3801', 'C_0704']",2
Bursitis,2,4,"[0.03976, 0.03993, 0.0369, 0.02924]","[0.476, 1.411, 0.227, 0.332]","['A_6801', 'B_1501', 'C_0704', 'DPB1_1101']",2
Cachexia,5,4,"[0.01256, 0.01142, 0.02391, 0.0086]","[1.992, 2.043, 0.56, 2.553]","['A_1101', 'B_4001', 'DQA1_0501', 'DQB1_0503']",2
Cancer of bladder,2,2,"[0.03477, 0.04996, 0.03819, 0.03754]","[1.507, 1.359, 1.448, 1.239]","['A_2501', 'C_1601', 'DQA1_0401', 'DQB1_0602']",2
Cancer of connective tissue,2,3,"[0.02903, 0.04367]","[1.681, 0.787]","['B_3701', 'C_0702']",2
"Cancer of other lymphoid, histiocytic tissue",2,3,[0.01668],[1.199],['B_0801'],2
Candidiasis,4,6,"[0.02755, 0.01873, 0.001081]","[1.193, 1.219, 0.445]","['DQB1_0501', 'DRB1_0101', 'DRB1_1104']",2
Cardiac arrest,2,5,"[0.0145, 0.04018, 0.02638, 0.0121, 0.04282]","[1.711, 0.569, 0.605, 2.522, 0.642]","['A_1101', 'DQB1_0202', 'DQB1_0602', 'DRB1_1201', 'DRB1_1501']",2
Cardiac arrest and ventricular fibrillation,3,3,"[0.003565, 0.02722, 0.03269, 0.01962, 0.04189, 0.001895]","[1.873, 1.637, 1.905, 1.925, 1.358, 2.473]","['A_3201', 'A_6801', 'B_3701', 'C_0704', 'DPB1_0402', 'DRB1_1201']",2
Cardiac conduction disorders,3,4,"[0.02561, 0.03431, 0.01474, 0.0347, 0.04204]","[1.204, 0.729, 0.835, 0.838, 1.144]","['A_3201', 'B_3801', 'B_4403', 'C_1601', 'DPB1_0101']",2
Cardiac defibrillator in situ,2,3,"[0.004243, 0.02932, 0.04617]","[1.939, 0.37, 1.614]","['B_1401', 'B_3801', 'DPB1_1701']",2
Cardiac dysrhythmias,3,4,"[0.03055, 0.00418, 0.04128, 0.04335, 0.001613, 0.006324, 0.04741]","[0.889, 1.176, 1.089, 0.826, 0.857, 0.86, 0.82]","['A_2902', 'A_3201', 'B_1501', 'B_3801', 'B_4403', 'C_1601', 'DQB1_0502']",2
Cardiac pacemaker in situ,3,3,"[0.002486, 0.0472, 0.03793, 0.01542]","[1.448, 0.79, 1.402, 1.57]","['A_3201', 'B_4403', 'C_0704', 'DPB1_1701']",2
Cardiomegaly,3,4,"[0.01379, 0.003785, 0.003561, 0.04899, 0.02816, 0.04905, 0.03015, 0.004106, 0.04266]","[0.883, 1.308, 1.285, 0.837, 1.23, 0.816, 0.753, 1.272, 0.717]","['A_0201', 'A_3201', 'B_2705', 'B_4403', 'C_0102', 'C_1601', 'DQB1_0503', 'DRB1_1302', 'DRB1_1401']",2
Cardiomyopathy,2,3,"[0.04793, 0.01811]","[0.626, 1.199]","['B_3801', 'C_0304']",2
"Cerebral degeneration, unspecified",4,2,"[0.004512, 0.04642, 0.009842, 0.00916, 0.03191, 0.02993]","[1.999, 1.66, 1.635, 1.612, 0.285, 0.371]","['B_5701', 'C_0202', 'C_0602', 'DQB1_0302', 'DQB1_0604', 'DRB1_1302']",2
Cerebrovascular disease,4,2,"[0.02491, 0.009886, 0.01198]","[1.231, 1.397, 1.137]","['B_1302', 'B_4002', 'C_0602']",2
Cervical cancer and dysplasia,0,3,"[0.003751, 0.03491, 0.03659, 0.01699, 0.01218, 0.04149, 0.04746, 0.01003, 0.03805, 0.03072]","[1.467, 1.414, 0.782, 0.734, 0.597, 1.246, 0.769, 1.363, 1.723, 1.395]","['A_2402', 'B_5101', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQA1_0301', 'DQB1_0201', 'DQB1_0302', 'DRB1_0407', 'DRB1_1101']",2
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],0,3,"[0.008494, 0.03864, 0.0382, 0.0393, 0.03547, 0.02487, 0.01394, 0.02771, 0.036, 0.02899]","[1.544, 0.493, 1.827, 1.975, 1.806, 0.557, 1.448, 1.517, 1.747, 0.545]","['A_2402', 'A_2902', 'C_0704', 'C_1402', 'DPB1_1001', 'DQA1_0103', 'DQB1_0302', 'DRB1_1101', 'DRB1_1104', 'DRB1_1301']",2
Chemotherapy,2,3,"[0.04437, 0.005778]","[0.806, 1.18]","['A_2301', 'DQB1_0303']",2
Cholangitis,2,0,"[9.709e-06, 0.03519, 4.388e-05, 0.03929, 0.001289, 0.04159, 0.02822, 0.03249, 0.001693, 0.01272]","[1.852, 0.653, 1.735, 1.451, 1.574, 0.69, 0.673, 1.472, 1.559, 1.577]","['B_0801', 'C_0602', 'C_0701', 'DQA1_0103', 'DQB1_0201', 'DQB1_0302', 'DQB1_0501', 'DQB1_0603', 'DRB1_0301', 'DRB1_1301']",2
"Chronic Kidney Disease, Stage IV",2,2,"[0.04931, 0.02583, 0.008452, 0.03721, 0.0273, 0.02059, 0.02472]","[1.428, 1.207, 1.542, 0.81, 1.639, 1.514, 0.798]","['A_2501', 'DQA1_0501', 'DQB1_0402', 'DQB1_0602', 'DRB1_0103', 'DRB1_0801', 'DRB1_1501']",2
Chronic airway obstruction,4,2,"[0.0355, 0.004827, 0.02918, 0.01856, 0.001199, 0.03643]","[1.134, 0.805, 0.696, 1.17, 0.819, 1.127]","['A_2402', 'B_3501', 'B_3801', 'B_4001', 'C_0401', 'C_0602']",2
Chronic bronchitis,3,2,"[0.0074, 0.04623, 0.0364, 0.01717, 0.04374, 0.01085]","[1.459, 1.304, 1.346, 0.766, 0.709, 1.246]","['A_6801', 'B_2705', 'C_0102', 'C_0401', 'C_1601', 'DQA1_0101']",2
Chronic prostatitis,3,6,"[0.01193, 0.04384, 0.02503, 0.03521, 0.04101, 0.0238, 0.01306]","[3.951, 0.299, 0.419, 0.398, 1.812, 1.964, 3.121]","['B_3801', 'C_0401', 'DPA1_0103', 'DPA1_0201', 'DQA1_0102', 'DQB1_0602', 'DRB1_1104']",2
Complication due to other implant and internal device,5,3,"[0.03247, 0.04865]","[1.805, 1.264]","['B_3901', 'DPB1_0201']",2
Complication of colostomy or enterostomy,5,3,"[0.0009366, 0.0143, 0.04599]","[0.388, 0.459, 2.32]","['A_0301', 'DRB1_0101', 'DRB1_0103']",2
Complication of internal orthopedic device,5,2,"[0.04259, 0.001829, 0.02808, 0.02352, 0.04846, 0.04482]","[1.23, 2.197, 0.431, 1.267, 1.26, 0.642]","['A_0201', 'B_1401', 'B_5501', 'DQB1_0301', 'DRB1_0401', 'DRB1_1302']",2
"Complication of nervous system device, implant, and graft",5,3,"[0.01214, 0.03951, 0.03526]","[1.475, 1.55, 1.742]","['B_0702', 'DQB1_0303', 'DQB1_0503']",2
Complications of transplants and reattached limbs,5,3,"[0.02477, 0.02272, 0.02366, 0.04237, 0.04981, 0.02181, 0.005009, 0.0005974, 0.007527, 0.02999]","[0.681, 1.323, 0.444, 0.707, 1.212, 1.249, 1.344, 1.447, 1.327, 0.408]","['A_1101', 'A_2402', 'B_5501', 'DQA1_0103', 'DQA1_0301', 'DQA1_0501', 'DQB1_0201', 'DQB1_0302', 'DRB1_0301', 'DRB1_1401']",2
Contracture of tendon (sheath),0,1,"[0.03351, 0.01626, 0.04512, 0.03274, 0.03602, 0.01029, 0.0496, 0.04463]","[2.673, 1.809, 0.594, 1.726, 0.638, 1.726, 1.669, 1.71]","['B_1401', 'B_1501', 'DPA1_0201', 'DQA1_0103', 'DQA1_0501', 'DQB1_0302', 'DQB1_0603', 'DRB1_1301']",2
Convulsions,1,4,"[0.01104, 0.00893, 0.03739]","[0.584, 1.233, 0.777]","['B_3503', 'C_0303', 'DQB1_0604']",2
Cramp of limb,3,6,"[0.007113, 0.03391, 0.0266]","[3.045, 0.516, 1.888]","['B_3801', 'DQB1_0201', 'DRB1_1101']",2
Curvature of spine,4,2,"[0.0165, 0.03067, 0.01822, 0.01132, 0.008724, 0.001658]","[1.429, 1.478, 0.608, 0.639, 0.569, 1.412]","['A_2902', 'B_1402', 'B_2705', 'B_3501', 'C_0202', 'C_0602']",2
Cutaneous lupus erythematosus,2,5,"[0.01937, 0.04885, 0.04507, 0.01686, 0.0433, 0.03847, 0.04905]","[1.864, 0.364, 0.493, 0.548, 1.589, 1.607, 0.529]","['A_1101', 'C_0303', 'C_0501', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_0401']",2
Cystic fibrosis,3,1,"[0.01478, 0.03641, 0.02437, 0.01517, 0.02777, 0.004002]","[0.176, 0.122, 1.467, 0.177, 1.73, 1.877]","['A_3201', 'B_1402', 'C_0702', 'C_0802', 'C_1601', 'DRB1_1101']",2
Deep vein thrombosis [DVT],2,4,[0.03675],[1.341],['A_6801'],2
Degeneration of intervertebral disc,0,1,"[0.03993, 0.005203, 0.00687, 0.005438, 0.001697]","[1.141, 1.353, 1.26, 1.269, 1.319]","['A_0101', 'A_3201', 'DQA1_0103', 'DQB1_0603', 'DRB1_1301']",2
Degenerative disease of the spinal cord,1,5,"[0.0105, 0.0455, 0.03829, 0.04105]","[1.695, 0.792, 0.475, 1.262]","['A_2501', 'DPA1_0103', 'DPB1_1101', 'DRB1_1501']",2
"Derangement of joint, non-traumatic",1,1,"[0.03272, 0.02254, 0.03752, 0.0293, 0.0478, 0.01671, 0.03031, 0.01288, 0.02497]","[0.554, 1.512, 0.664, 1.588, 0.509, 2.112, 1.481, 1.562, 1.523]","['B_3501', 'C_0303', 'C_0501', 'C_1203', 'C_1601', 'DPB1_1401', 'DQA1_0103', 'DQB1_0603', 'DRB1_1301']",2
Dermatophytosis,3,0,"[0.005766, 0.04842, 0.02695, 0.007163, 0.03576, 0.04896, 0.002237, 0.02922, 0.02678, 0.03854, 0.003017, 0.0005391, 0.04301, 0.04991, 0.009669]","[0.653, 0.571, 0.832, 1.713, 0.773, 1.221, 0.659, 1.29, 0.808, 0.846, 0.627, 1.411, 1.223, 1.167, 0.821]","['A_2902', 'A_3001', 'B_0702', 'B_1401', 'B_3501', 'B_4001', 'B_4403', 'C_0202', 'C_0401', 'C_0702', 'C_1601', 'DPB1_0101', 'DQA1_0103', 'DQB1_0201', 'DQB1_0301']",2
Dermatophytosis / Dermatomycosis,3,0,"[0.005067, 0.02707, 0.04093, 0.01792, 0.003922, 0.04866, 0.04256, 0.002869, 0.00033, 0.04969, 0.03135, 0.04156, 0.01042, 0.04312]","[0.658, 0.837, 0.671, 1.604, 0.687, 1.253, 0.829, 0.635, 1.414, 0.85, 1.231, 1.168, 0.827, 1.227]","['A_2902', 'B_0702', 'B_1302', 'B_1401', 'B_4403', 'C_0202', 'C_0401', 'C_1601', 'DPB1_0101', 'DPB1_0201', 'DQA1_0103', 'DQB1_0201', 'DQB1_0301', 'DRB1_1301']",2
Diabetes insipidus,0,4,"[0.04484, 0.0258, 0.006411, 0.03712]","[0.237, 1.757, 2.28, 1.694]","['DPB1_0101', 'DQB1_0602', 'DRB1_1101', 'DRB1_1501']",2
Diplopia and disorders of binocular vision,0,1,"[0.03235, 0.02162, 4.444e-05, 0.03278, 4.994e-05, 0.03461, 0.03867, 1.142e-05]","[1.575, 1.738, 1.888, 1.34, 1.887, 0.68, 1.329, 2.009]","['A_3201', 'B_1302', 'DQA1_0103', 'DQB1_0201', 'DQB1_0603', 'DRB1_0101', 'DRB1_0301', 'DRB1_1301']",2
Diseases due to other mycobacteria,5,6,[0.03069],[0.112],['C_0401'],2
Diseases of the jaws,4,5,"[0.001273, 0.04971]","[1.465, 0.248]","['A_0201', 'DRB1_0901']",2
Diseases of the larynx and vocal cords,5,4,"[0.01366, 0.02357, 0.02679, 0.01583]","[1.192, 0.749, 0.725, 1.388]","['A_0101', 'B_4403', 'C_1601', 'DQB1_0503']",2
Dislocation,5,2,"[0.04454, 0.02953, 0.04148, 0.03462, 0.0273, 0.0102, 0.005974]","[1.165, 0.829, 0.502, 1.204, 0.723, 1.252, 0.35]","['A_0201', 'C_0701', 'DPB1_1701', 'DQB1_0302', 'DQB1_0303', 'DRB1_0401', 'DRB1_0901']",2
Disorder of skin and subcutaneous tissue NOS,2,4,"[0.02664, 0.01646, 0.04503]","[1.457, 0.182, 0.71]","['A_6801', 'DPB1_1701', 'DQB1_0603']",2
Disorders of amino-acid metabolism,2,3,[0.006976],[2.31],['DQB1_0302'],2
Disorders of iris and ciliary body,1,0,"[0.01078, 0.01912, 0.0498]","[2.785, 2.029, 1.873]","['DPB1_0501', 'DQB1_0603', 'DRB1_1301']",2
Disorders of magnesium metabolism,0,4,"[0.04818, 0.02703, 0.0437, 0.02337, 0.02492, 0.01147, 0.03617, 0.006126, 0.03767, 0.02384]","[0.613, 1.332, 0.798, 1.211, 1.626, 1.711, 0.472, 1.392, 1.448, 0.484]","['B_1302', 'B_5101', 'C_0501', 'DQB1_0301', 'DRB1_0103', 'DRB1_0407', 'DRB1_0901', 'DRB1_1101', 'DRB1_1104', 'DRB1_1401']",2
"Disorders of muscle, ligament, and fascia",1,2,"[0.004638, 0.03123, 0.0003976, 0.004922, 0.03788, 0.01353, 0.02142, 0.04642, 0.0164, 0.03676, 0.01499, 0.0232]","[3.745, 2.09, 2.884, 3.079, 1.703, 0.557, 0.52, 1.813, 0.424, 1.866, 2.068, 0.461]","['B_4002', 'B_5701', 'C_0202', 'C_0704', 'DPB1_0301', 'DPB1_0401', 'DQA1_0102', 'DQA1_0103', 'DQB1_0602', 'DQB1_0603', 'DRB1_1301', 'DRB1_1501']",2
Disorders of parathyroid gland,2,3,[0.01454],[0.581],['DPB1_0101'],2
Disorders of the globe,4,5,"[0.01854, 0.02654, 0.002826]","[1.702, 2.57, 0.47]","['A_0201', 'B_3701', 'DQA1_0501']",2
Disorders of the pituitary gland and its hypothalamic control,5,4,"[0.04049, 0.03419, 0.01006, 0.01176, 0.04729]","[1.236, 0.633, 1.477, 1.479, 1.449]","['A_0301', 'A_2902', 'B_1801', 'C_1203', 'DQB1_0503']",2
"Disorders of uterus, NEC",3,6,"[0.03517, 0.04331]","[2.665, 0.355]","['B_3801', 'C_0303']",2
Displacement of intervertebral disc,3,1,"[0.0344, 0.0001701, 0.03566, 0.0241, 0.04872]","[1.762, 2.119, 1.404, 1.308, 1.24]","['B_4002', 'C_0704', 'C_1601', 'DQB1_0202', 'DRB1_0701']",2
Duodenitis,4,4,"[0.004819, 0.02714, 0.04877]","[2.655, 3.154, 0.242]","['A_3201', 'B_4002', 'DQA1_0103']",2
Dysmetabolic syndrome X,2,4,"[0.03207, 0.01687, 0.02914]","[0.286, 1.934, 0.401]","['A_2902', 'A_6801', 'B_3501']",2
Dyspepsia and other specified disorders of function of stomach,4,5,"[0.04031, 0.03473, 0.016, 0.03733, 0.02364]","[1.267, 1.3, 0.692, 0.756, 1.915]","['A_0201', 'B_0702', 'B_0801', 'C_0701', 'C_1402']",2
Dysuria,3,1,"[0.009273, 0.04217, 0.0217, 0.01731, 0.0378, 0.003328, 0.007676, 0.02725, 0.03719]","[1.56, 0.852, 1.251, 1.292, 1.144, 0.795, 0.812, 1.239, 1.244]","['A_3001', 'B_0801', 'B_4403', 'C_1601', 'DQA1_0102', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101', 'DRB1_1302']",2
Effects radiation NOS,5,2,"[0.02067, 0.03113, 0.04347, 0.04637, 0.03906, 0.03177, 0.02027]","[0.76, 1.576, 0.632, 0.752, 0.727, 1.528, 0.673]","['A_0201', 'A_3101', 'B_3501', 'DQA1_0101', 'DQB1_0501', 'DQB1_0604', 'DRB1_0101']",2
Empyema and pneumothorax,2,4,"[0.04201, 0.01103, 0.04697, 0.02112, 0.004064, 0.006839, 0.01548, 0.04018, 0.0001216, 0.02773]","[1.213, 0.609, 1.28, 1.184, 0.305, 0.59, 0.49, 1.16, 0.506, 0.827]","['A_1101', 'A_2601', 'A_6801', 'B_0702', 'B_1401', 'B_1402', 'B_3801', 'C_0702', 'C_0802', 'DPB1_0402']",2
